ACCOUNT_ID,TOTAL QUATITY SOLD,REGULAR QUANTITY SOLD,TOTAL $ SALES,CHANNEL
19,43609,30000,2024247.5,FACEBOOK
18,55854,25000,2223485,ADWORDS
11,97257,60000,4324567.5,ADWORDS
3,5243,5000,281682.5,DIRECT
16,11773,5000,461257.5,DIRECT
1,33783,20000,1479032.5,ADWORDS
20,82189,35000,3222697.5,DIRECT
2,95613,40000,3729357.5,ADWORDS
12,41848,35000,2113320,DIRECT
10,24173,15000,1077257.5,TWITTER
13,49789,30000,2194197.5,TWITTER
15,71701,48000,3291777.5,TWITTER
9,97747,56000,4228042.5,DIRECT
14,53643,42000,2630182.5,TWITTER
17,34444,20000,1497210,DIRECT
8,69535,38000,2957212.5,TWITTER
7,25157,14000,1076817.5,DIRECT
4,71355,40000,3062262.5,TWITTER
5,96524,55000,4166910,FACEBOOK
6,73250,40000,3114375,FACEBOOK
